### Updated - re-ran this step on 3-26-21  
#Significant genes in Sensory Perception of Light Stim (212 genes in geneset originally)
        #Homo Gene mods before Actinula join = 145 (Homo Gene Mods)
        #119 Unique Homo OG
        #516 Hydractinia gene models mapped to genes in this geneset  #Actinula_sensory_percep_light_stim.txt
        #375 Unique Hydractinia Headers
        #96 Unique Hydractinia OG 


# Stage 1 vs Stage 2  
Header	OG	Symbol	logFC	logCPM	Pvalue
Hs_planula_t.48076	OG0000002	SEMA5B	0.936127212	5.222607707	2.09E-07
Hs_planula_t.62380	OG0000060	SOX14	-0.800061471	5.550534274	5.72E-06
Hs_planula_t.84960	OG0000093	CDH23	-1.161891392	4.563821248	4.39E-10
Hs_planula_t.92541	OG0000218	MIP	1.505904488	5.362174734	2.80E-10
Hs_planula_t.92543	OG0000218	MIP	0.76047017	4.313882522	4.31E-06
Hs_planula_t.71193	OG0000489	EML2	2.882451934	6.111011668	1.80E-23
Hs_planula_t.88622	OG0001924	PPEF2	0.779342389	4.610076551	5.01E-06
Hs_planula_t.25801	OG0004373	USH1G	1.218071236	5.609937559	3.15E-12
Hs_planula_t.70828	OG0004757	FSCN2	1.199707918	6.764968304	4.49E-10
Hs_planula_t.25244	OG0004975	COL18A1	-0.952078449	7.637975383	1.55E-07
Hs_planula_t.24836	OG0006019	LAMB2	-1.22144458	8.113704467	2.44E-06
Hs_planula_t.90763	OG0006759	LAMC3	-1.753277435	7.553982654	1.97E-15



# Stage 1 vs Stage 3
Header	OG	Symbol	logFC	logCPM	Pvalue
Hs_planula_t.36207	OG0000002	SEMA5B	0.658375146	4.520932687	1.63E-05
Hs_planula_t.24723	OG0000012	CRX	0.850022565	4.789039401	7.87E-06
Hs_planula_t.25097	OG0000056	GUCY2F	1.078680731	4.950636938	1.59E-13
Hs_planula_t.70841	OG0000056	GUCY2F	0.649857562	6.10015449	1.18E-06
Hs_planula_t.47554	OG0000060	SOX14	-0.638947472	7.673266315	9.75E-07
Hs_planula_t.48675	OG0000060	SOX14	-0.90446461	5.508807348	5.52E-11
Hs_planula_t.62380	OG0000060	SOX14	-0.728545856	5.583659558	2.16E-08
Hs_planula_t.25179	OG0000093	CDH23	1.750775472	7.104719456	8.42E-12
Hs_planula_t.78332	OG0000093	CDH23	0.992522212	6.965073938	8.16E-15
Hs_planula_t.84960	OG0000093	CDH23	-1.214444359	4.555347117	1.64E-14
Hs_planula_t.88759	OG0000093	CDH23	1.052150941	6.357913334	1.19E-10
Hs_planula_t.92543	OG0000218	MIP	0.613475605	4.228374579	2.13E-05
Hs_planula_t.35971	OG0000316	RIMS1	-0.656920905	5.638211102	5.27E-07
Hs_planula_t.71823	OG0000433	TYR	0.673544264	5.487896156	2.51E-06
Hs_planula_t.38528	OG0000470	GNAT1	-0.668700918	6.963310819	1.63E-05
Hs_planula_t.71193	OG0000489	EML2	3.008307741	6.226724432	4.92E-31
Hs_planula_t.28270	OG0000570	CYP4V2	-1.064973027	4.404139056	1.46E-11
Hs_planula_t.81533	OG0000698	NR2E3	-0.952468511	5.558005564	1.33E-10
Hs_planula_t.37383	OG0000731	AOC2	-0.979189012	5.920759768	2.39E-14
Hs_planula_t.47734	OG0000928	IRX5	1.1079629	7.156770197	9.06E-19
Hs_planula_t.72997	OG0002585	POU4F3	-0.871099828	5.982441594	4.68E-11
Hs_planula_t.91957	OG0003740	MYO3B	0.808863084	4.873842623	7.28E-07
Hs_planula_t.25801	OG0004373	USH1G	1.113114513	5.542669157	6.11E-16
Hs_planula_t.74420	OG0004584	FAM161A	0.606836441	6.143903633	3.12E-06
Hs_planula_t.70828	OG0004757	FSCN2	1.334072952	6.865466292	2.53E-18
Hs_planula_t.47720	OG0004844	NOB1	0.822651594	6.525128501	2.02E-11
Hs_planula_t.25244	OG0004975	COL18A1	-0.906643261	7.659930283	5.99E-12
